STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
1,A32,CTCP 32,Hàng tiêu dùng và trang trí,UPCoM,6800000
2,AAA,CTCP Nhựa An Phát Xanh,Nguyên vật liệu,HOSE,382274496
3,AAH,CTCP Hợp Nhất,Năng lượng,UPCoM,117900000
4,AAM,CTCP Thủy sản MeKong,"Thực phẩm, đồ uống và thuốc lá",HOSE,12346411
5,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Hàng tiêu dùng và trang trí,HOSE,70819103
6,AAV,CTCP AAV Group,Phát triển và quản lý bất động sản,HNX,68987661
7,ABC,CTCP Truyền thông VMG,Dịch vụ viễn thông,UPCoM,20393000
8,ABR,CTCP Đầu tư Nhãn hiệu Việt,Dịch vụ viễn thông,HOSE,20000000
9,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,HOSE,80000000
10,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá",HOSE,14387207
11,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Tư liệu sản xuất,HOSE,104999993
12,ACE,CTCP Bê tông Ly tâm An Giang,Nguyên vật liệu,UPCoM,3050781
13,ACG,CTCP Gỗ An Cường,Nguyên vật liệu,HOSE,150787946
14,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,50159019
15,ACM,CTCP Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCoM,51000000
16,ACS,CTCP Xây lắp Thương mại 2,Tư liệu sản xuất,UPCoM,4000000
17,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Vận tải,UPCoM,2177173236
18,ADC,CTCP Mỹ thuật và Truyền thông,Truyền thông và giải trí,HNX,3977936
19,ADG,CTCP Clever Group,Truyền thông và giải trí,HOSE,21380521
20,ADP,CTCP Sơn Á Đông,Nguyên vật liệu,HOSE,23039850
21,ADS,CTCP Damsan,Hàng tiêu dùng và trang trí,HOSE,76394727
22,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,35000000
23,AG1,CTCP 28.1,Hàng tiêu dùng và trang trí,UPCoM,4863386
24,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,28109743
25,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển và quản lý bất động sản,HOSE,162528081
26,AGM,CTCP Xuất Nhập khẩu An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,18200000
27,AGP,CTCP Dược phẩm Agimexpharm,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,23143941
28,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10800000
29,AIG,CTCP Nguyên liệu Á Châu AIG,Bán lẻ thực phẩm và nhu yếu phẩm,UPCoM,170601298
30,ALT,CTCP Văn hóa Tân Bình,Nguyên vật liệu,HNX,6172523
31,ALV,CTCP Xây dựng ALVICO,Tư liệu sản xuất,UPCoM,5657936
32,AMC,CTCP Khoáng sản Á Châu,Nguyên vật liệu,HNX,2850000
33,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,Tư liệu sản xuất,UPCoM,163504874
34,AME,CTCP Alphanam E&C,Tư liệu sản xuất,HNX,65200000
35,AMP,CTCP Armephaco,Phân phối và bán lẻ hàng lâu bền,UPCoM,13000000
36,AMS,CTCP Cơ khí Xây dựng AMECC,Tư liệu sản xuất,UPCoM,60000000
37,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dịch vụ và thiết bị chăm sóc sức khỏe,HNX,131105650
38,ANT,CTCP Rau quả Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,18399823
39,ANV,CTCP Nam Việt,"Thực phẩm, đồ uống và thuốc lá",HOSE,266667500
40,APC,CTCP Chiếu xạ An Phú,Dịch vụ chuyên biệt và thương mại,UPCoM,20121395
41,APF,CTCP Nông sản Thực phẩm Quảng Ngãi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,29770578
42,APH,CTCP Tập đoàn An Phát Holdings,Nguyên vật liệu,HOSE,243884268
43,API,CTCP Đầu tư Châu Á - Thái Bình Dương,Phát triển và quản lý bất động sản,HNX,84083976
44,APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,Phân phối và bán lẻ hàng lâu bền,UPCoM,1200000
45,APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,Năng lượng,UPCoM,4724632
46,APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8800000
47,ARM,CTCP Xuất nhập khẩu Hàng không,Vận tải,HNX,3111283
48,ASA,CTCP ASA,Tư liệu sản xuất,UPCoM,10000000
49,ASG,CTCP Tập đoàn ASG,Vận tải,HOSE,90784669
50,ASM,CTCP Tập đoàn Sao Mai,"Thực phẩm, đồ uống và thuốc lá",HOSE,370178250
51,ASP,CTCP Tập đoàn Dầu khí An Pha,Năng lượng,HOSE,37339929
52,AST,CTCP Dịch vụ Hàng không Taseco,Vận tải,HOSE,45000000
53,ATA,CTCP Ntaco,"Thực phẩm, đồ uống và thuốc lá",UPCoM,11999998
54,ATB,CTCP An Thịnh,Tư liệu sản xuất,UPCoM,13884000
55,ATG,CTCP An Trường An,Nguyên vật liệu,UPCoM,15220000
56,ATS,CTCP Tập đoàn Đầu tư ATS,Dịch vụ tiêu dùng,HNX,3500000
57,AVC,CTCP Thủy điện A Vương,Dịch vụ tiện ích,UPCoM,75052052
58,AVF,CTCP Việt An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,43338000
59,AVG,CTCP Phân bón Quốc tế Âu Việt,Nguyên vật liệu,UPCoM,17679982
60,BAF,CTCP Nông nghiệp BAF Việt Nam,"Thực phẩm, đồ uống và thuốc lá",HOSE,239021642
61,BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,Nguyên vật liệu,UPCoM,2000000
62,BAX,CTCP Thống Nhất,Phát triển và quản lý bất động sản,HNX,8200000
63,BBC,CTCP Bibica,"Thực phẩm, đồ uống và thuốc lá",HOSE,18752687
64,BBH,CTCP Bao bì Hoàng Thạch,Nguyên vật liệu,UPCoM,2047932
65,BBM,CTCP Bia Hà Nội - Nam Định,"Thực phẩm, đồ uống và thuốc lá",UPCoM,2000000
66,BBS,CTCP VICEM Bao bì Bút Sơn,Nguyên vật liệu,HNX,6000000
67,BBT,CTCP Bông Bạch Tuyết,Dịch vụ và thiết bị chăm sóc sức khỏe,UPCoM,9800000
68,BCA,CTCP B.C.H,Nguyên vật liệu,UPCoM,19000000
69,BCB,CTCP 397,Năng lượng,UPCoM,5700000
70,BCC,CTCP Xi măng Bỉm Sơn,Nguyên vật liệu,HNX,123209812
71,BCE,CTCP Xây dựng và Giao thông Bình Dương,Hàng tiêu dùng và trang trí,HOSE,35000000
72,BCF,CTCP Thực phẩm Bích Chi,"Thực phẩm, đồ uống và thuốc lá",HNX,33897213
73,BCG,CTCP Tập đoàn Bamboo Capital,Tư liệu sản xuất,HOSE,880210644
74,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Phát triển và quản lý bất động sản,HOSE,1035000000
75,BCP,CTCP Dược ENLIE,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,6000000
76,BCR,CTCP BCG Land,Phát triển và quản lý bất động sản,UPCoM,473799913
77,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Dịch vụ tiêu dùng,UPCoM,1800000
78,BDB,CTCP Sách và Thiết bị Bình Định,Truyền thông và giải trí,HNX,1126474
79,BDG,CTCP May mặc Bình Dương,Hàng tiêu dùng và trang trí,UPCoM,24799920
80,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Nguyên vật liệu,UPCoM,38600000
81,BDW,CTCP Cấp thoát nước Bình Định,Dịch vụ tiện ích,UPCoM,12410800
82,BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Truyền thông và giải trí,HNX,3000000
83,BEL,CTCP Điện tử Biên Hòa,Công nghệ phần cứng và thiết bị,UPCoM,6000000
84,BFC,CTCP Phân bón Bình Điền,Nguyên vật liệu,HOSE,57167993
85,BGE,CTCP BCG Energy,Dịch vụ tiện ích,UPCoM,730000000
86,BGW,CTCP Nước sạch Bắc Giang,Dịch vụ tiện ích,UPCoM,18149446
87,BHA,CTCP Thủy điện Bắc Hà,Dịch vụ tiện ích,UPCoM,66000000
88,BHC,CTCP Bê tông Biên Hòa,Nguyên vật liệu,UPCoM,4500000
89,BHG,CTCP Chè Biển Hồ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8935643
90,BHK,CTCP Bia Hà Nội - Kim Bài,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3986000
91,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,"Thực phẩm, đồ uống và thuốc lá",HOSE,231800000
92,BHP,CTCP Bia Hà Nội - Hải Phòng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,9179290
93,BIG,CTCP Big Invest Group,Phân phối và bán lẻ hàng lâu bền,UPCoM,15084689
94,BII,CTCP Louis Land,Bán lẻ thực phẩm và nhu yếu phẩm,UPCoM,57680000
95,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,8562000
96,BKC,CTCP Khoáng sản Bắc Kạn,Nguyên vật liệu,HNX,11737728
97,BKG,CTCP Đầu tư BKG Việt Nam,Nguyên vật liệu,HOSE,71609020
98,BLF,CTCP Thủy sản Bạc Liêu,"Thực phẩm, đồ uống và thuốc lá",UPCoM,11500000
99,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,Vận tải,UPCoM,5000000
100,BLT,CTCP Lương thực Bình Định,"Thực phẩm, đồ uống và thuốc lá",UPCoM,4000000
101,BMC,CTCP Khoáng sản Bình Định,Nguyên vật liệu,HOSE,12392630
102,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Dịch vụ tiện ích,UPCoM,2753280
103,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,Phân phối và bán lẻ hàng lâu bền,UPCoM,15848063
104,BMG,CTCP May Bình Minh,Hàng tiêu dùng và trang trí,UPCoM,5292000
105,BMJ,CTCP Khoáng sản Miền Đông AHP,Nguyên vật liệu,UPCoM,104999978
106,BMK,CTCP Kỹ thuật nhiệt Mèo Đen,Tư liệu sản xuất,UPCoM,6800000
107,BMN,CTCP 715,Tư liệu sản xuất,UPCoM,2750000
108,BMP,CTCP Nhựa Bình Minh,Tư liệu sản xuất,HOSE,81860938
109,BMV,CTCP Bột mỳ Vinafood 1,"Thực phẩm, đồ uống và thuốc lá",UPCoM,24200000
110,BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,"Thực phẩm, đồ uống và thuốc lá",HNX,31249394
111,BNW,CTCP Nước sạch Bắc Ninh,Dịch vụ tiện ích,UPCoM,37549391
112,BOT,CTCP BOT Cầu Thái Hà,Tư liệu sản xuất,UPCoM,59246800
113,BPC,CTCP VICEM Bao bì Bỉm Sơn,Nguyên vật liệu,HNX,3800000
114,BQB,CTCP Bia Hà Nội - Quảng Bình,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5800000
115,BRC,CTCP Cao su Bến Thành,Xe và linh kiện,HOSE,12374997
116,BRR,CTCP Cao su Bà Rịa,Nguyên vật liệu,UPCoM,112500000
117,BRS,CTCP Dịch vụ Đô thị Bà Rịa,Dịch vụ tiện ích,UPCoM,4541950
118,BSA,CTCP Thủy điện Buôn Đôn,Dịch vụ tiện ích,UPCoM,66850975
119,BSC,CTCP Dịch vụ Bến Thành,Dịch vụ chuyên biệt và thương mại,HNX,3150747
120,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân","Thực phẩm, đồ uống và thuốc lá",UPCoM,3000000
121,BSG,CTCP Xe khách Sài Gòn,Vận tải,UPCoM,60000000
122,BSH,CTCP Bia Sài Gòn - Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,18000000
123,BSL,CTCP Bia Sài Gòn - Sông Lam,"Thực phẩm, đồ uống và thuốc lá",UPCoM,45000000
124,BSP,CTCP Bia Sài Gòn - Phú Thọ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12500000
125,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,45000000
126,BSR,CTCP Lọc hóa Dầu Bình Sơn,Năng lượng,HOSE,3100499616
127,BST,CTCP Sách và Thiết bị Bình Thuận,Truyền thông và giải trí,HNX,1100000
128,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,Nguyên vật liệu,UPCoM,5669959
129,BT6,CTCP Beton 6,Nguyên vật liệu,UPCoM,32993550
130,BTB,CTCP Bia Hà Nội - Thái Bình,"Thực phẩm, đồ uống và thuốc lá",UPCoM,7691226
131,BTD,CTCP Bê tông Ly tâm Thủ Đức,Nguyên vật liệu,UPCoM,6414100
132,BTG,CTCP Bao bì Tiền Giang,Nguyên vật liệu,UPCoM,1190000
133,BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Tư liệu sản xuất,UPCoM,25000000
134,BTN,CTCP Đầu tư Bitco Bình Định,Nguyên vật liệu,UPCoM,4465570
135,BTP,CTCP Nhiệt điện Bà Rịa,Dịch vụ tiện ích,HOSE,60485600
136,BTS,CTCP Xi măng VICEM Bút Sơn,Nguyên vật liệu,HNX,123559858
137,BTT,CTCP Thương mại Dịch vụ Bến Thành,Phân phối và bán lẻ hàng lâu bền,HOSE,13500000
138,BTU,CTCP Công trình Đô thị Bến Tre,Dịch vụ chuyên biệt và thương mại,UPCoM,3600000
139,BTV,CTCP Dịch vụ Du lịch Bến Thành,Dịch vụ tiêu dùng,UPCoM,25000000
140,BTW,CTCP Cấp nước Bến Thành,Dịch vụ tiện ích,HNX,9360000
141,BVG,CTCP Group Bắc Việt,Nguyên vật liệu,UPCoM,9750948
142,BVL,CTCP BV Land,Tư liệu sản xuất,UPCoM,82788300
143,BVN,CTCP Bông Việt Nam,Hàng tiêu dùng và trang trí,UPCoM,5000000
144,BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,Dịch vụ tiện ích,UPCoM,2700000
145,BWE,CTCP - Tổng công ty nước - môi trường Bình Dương,Dịch vụ tiện ích,HOSE,219928644
146,BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,Dịch vụ tiện ích,UPCoM,100007569
147,BXH,CTCP VICEM Bao bì Hải Phòng,Nguyên vật liệu,HNX,3012040
148,C12,CTCP Cầu 12,Tư liệu sản xuất,UPCoM,4850000
149,C21,CTCP Thế Kỷ 21,Phát triển và quản lý bất động sản,UPCoM,19336371
150,C22,CTCP 22,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3550000
151,C32,CTCP CIC39,Nguyên vật liệu,HOSE,15030145
152,C47,CTCP Xây dựng 47,Tư liệu sản xuất,HOSE,36342269
153,C4G,CTCP Tập đoàn CIENCO4,Tư liệu sản xuất,UPCoM,357300754
154,C69,CTCP Xây dựng 1369,Phân phối và bán lẻ hàng lâu bền,HNX,61799972
155,C92,CTCP Xây dựng và Đầu tư 492,Tư liệu sản xuất,UPCoM,5312920
156,CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8799927
157,CAG,CTCP Cảng An Giang,Vận tải,HNX,13800000
158,CAN,CTCP Đồ hộp Hạ Long,"Thực phẩm, đồ uống và thuốc lá",HNX,5000000
159,CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Nguyên vật liệu,HNX,15269965
160,CAR,CTCP Tập đoàn Giáo dục Trí Việt,Dịch vụ tiêu dùng,HNX,5059098
161,CAT,CTCP Thủy sản Cà Mau,"Thực phẩm, đồ uống và thuốc lá",UPCoM,9748579
162,CBI,CTCP Gang thép Cao Bằng,Nguyên vật liệu,UPCoM,43006366
163,CBS,CTCP Mía Đường Cao Bằng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5291868
164,CC1,Tổng Công ty Xây dựng Số 1 - CTCP,Tư liệu sản xuất,UPCoM,358507825
165,CC4,CTCP Đầu tư và Xây dựng Số 4,Tư liệu sản xuất,UPCoM,64000000
166,CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,15092326
167,CCC,CTCP Xây dựng CDC,Tư liệu sản xuất,HOSE,40250000
168,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Phân phối và bán lẻ hàng lâu bền,HOSE,17743865
169,CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Phát triển và quản lý bất động sản,HOSE,59581418
170,CCM,CTCP khoáng sản và Xi măng Cần Thơ,Nguyên vật liệu,UPCoM,6199900
171,CCP,CTCP Cảng Cửa Cấm Hải Phòng,Phân phối và bán lẻ hàng lâu bền,UPCoM,2400000
172,CCR,CTCP Cảng Cam Ranh,Vận tải,HNX,24501817
173,CCT,CTCP Cảng Cần Thơ,Vận tải,UPCoM,28480000
174,CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,Dịch vụ chuyên biệt và thương mại,UPCoM,1800000
175,CDC,CTCP Chương Dương,Tư liệu sản xuất,HOSE,21988716
176,CDG,CTCP Cầu Đuống,Nguyên vật liệu,UPCoM,3464995
177,CDH,CTCP Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Dịch vụ tiện ích,UPCoM,2000000
178,CDN,CTCP Cảng Đà Nẵng,Vận tải,HNX,99000000
179,CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Tư liệu sản xuất,UPCoM,31504975
180,CDP,CTCP Dược phẩm Trung ương Codupha,Dịch vụ và thiết bị chăm sóc sức khỏe,UPCoM,18270000
181,CDR,CTCP Xây dựng Cao su Đồng Nai,Tư liệu sản xuất,UPCoM,2133271
182,CEN,CTCP CENCON Việt Nam,Phân phối và bán lẻ hàng lâu bền,UPCoM,21712440
183,CEO,CTCP Tập đoàn C.E.O,Phát triển và quản lý bất động sản,HNX,540406432
184,CET,CTCP HTC Holding,Hàng tiêu dùng và trang trí,HNX,6050000
185,CFM,CTCP Đầu tư CFM,Dịch vụ tiêu dùng,UPCoM,2000000
186,CFV,CTCP Cà phê Thắng Lợi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8096000
187,CGV,CTCP Vinaceglass,Hàng tiêu dùng và trang trí,UPCoM,9499956
188,CH5,CTCP Xây dựng Số 5 Hà Nội,Tư liệu sản xuất,UPCoM,3732450
189,CHC,CTCP Cẩm Hà,Nguyên vật liệu,UPCoM,6731596
190,CHP,CTCP Thủy điện Miền Trung,Dịch vụ tiện ích,HOSE,146912668
191,CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Tư liệu sản xuất,UPCoM,28400000
192,CI5,CTCP Đầu Tư Xây dựng Số 5,Tư liệu sản xuất,UPCoM,2700000
193,CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Vận tải,HNX,19709904
194,CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,Phát triển và quản lý bất động sản,UPCoM,1082000
195,CIG,CTCP COMA 18,Tư liệu sản xuất,HOSE,51039947
196,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Phát triển và quản lý bất động sản,HOSE,547976583
197,CIP,CTCP Xây lắp và Sản xuất Công nghiệp,Tư liệu sản xuất,UPCoM,4545000
198,CJC,CTCP Cơ điện Miền Trung,Tư liệu sản xuất,HNX,8000000
199,CK8,CTCP Cơ khí 120,Nguyên vật liệu,UPCoM,3000000
200,CKA,CTCP Cơ Khí An Giang,Tư liệu sản xuất,UPCoM,3286404
201,CKD,CTCP Cơ khí Đông Anh LICOGI,Nguyên vật liệu,UPCoM,31000000
202,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Phát triển và quản lý bất động sản,HOSE,95259361
203,CKV,CTCP COKYVINA,Dịch vụ viễn thông,HNX,4050000
204,CLC,CTCP Cát Lợi,"Thực phẩm, đồ uống và thuốc lá",HOSE,26207583
205,CLG,CTCP Đầu tư và Phát triển Nhà đất COTEC,Tư liệu sản xuất,UPCoM,21150000
206,CLH,CTCP Xi măng La Hiên VVMI,Nguyên vật liệu,HNX,12000000
207,CLL,CTCP Cảng Cát Lái,Vận tải,HOSE,34000000
208,CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Năng lượng,HNX,11000000
209,CLW,CTCP Cấp nước Chợ Lớn,Dịch vụ tiện ích,HOSE,13000000
210,CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Bán lẻ thực phẩm và nhu yếu phẩm,UPCoM,86600000
211,CMC,CTCP Đầu tư CMC,Tư liệu sản xuất,HNX,4561050
212,CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,Nguyên vật liệu,UPCoM,15000000
213,CMF,CTCP Thực phẩm Cholimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8100000
214,CMG,CTCP Tập đoàn Công nghệ CMC,Phần mềm và dịch vụ,HOSE,211339607
215,CMI,CTCP CMISTONE Việt Nam,Nguyên vật liệu,UPCoM,15002500
216,CMK,CTCP Cơ khí Mạo Khê - Vinacomin,Tư liệu sản xuất,UPCoM,1432578
217,CMM,CTCP Camimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,91849998
218,CMN,CTCP Lương thực Thực phẩm Colusa - Miliket,"Thực phẩm, đồ uống và thuốc lá",UPCoM,4800000
219,CMP,CTCP Cảng Chân Mây,Vận tải,UPCoM,32405415
220,CMS,CTCP Tập Đoàn CMH Việt Nam,Tư liệu sản xuất,HNX,25452500
221,CMT,CTCP Công nghệ Mạng và Truyền thông,Phần mềm và dịch vụ,UPCoM,8000000
222,CMV,CTCP Thương nghiệp Cà Mau,Phân phối và bán lẻ hàng lâu bền,HOSE,18155868
223,CMW,CTCP Cấp nước Cà Mau,Dịch vụ tiện ích,UPCoM,15534900
224,CMX,CTCP Camimex Group,"Thực phẩm, đồ uống và thuốc lá",HOSE,101898990
225,CNA,CTCP Tổng Công ty Chè Nghệ An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,1673622
226,CNC,CTCP Công nghệ Cao Traphaco,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,11364325
227,CNG,CTCP CNG Việt Nam,Dịch vụ tiện ích,HOSE,35099625
228,CNN,CTCP Tư vấn Công nghệ Thiết bị và Kiểm Định Xây dựng - Coninco,Dịch vụ chuyên biệt và thương mại,UPCoM,8800000
229,CNT,CTCP Tập đoàn CNT,Phát triển và quản lý bất động sản,UPCoM,50392785
230,COM,CTCP Vật tư Xăng Dầu,Phân phối và bán lẻ hàng lâu bền,HOSE,14120628
231,CPA,CTCP Cà phê Phước An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,23627990
232,CPC,CTCP Thuốc sát trùng Cần Thơ,Nguyên vật liệu,HNX,4303050
233,CPH,CTCP Phục vụ Mai táng Hải Phòng,Dịch vụ tiêu dùng,UPCoM,4400000
234,CPI,CTCP Đầu tư Cảng Cái Lân,Vận tải,UPCoM,36505000
235,CQN,CTCP Cảng Quảng Ninh,Vận tải,UPCoM,75049936
236,CQT,CTCP Xi măng Quán Triều VVMI,Nguyên vật liệu,UPCoM,25000000
237,CRC,CTCP Create Capital Việt Nam,Nguyên vật liệu,HOSE,60000000
238,CRE,CTCP Bất động sản Thế Kỷ,Phát triển và quản lý bất động sản,HOSE,463678534
239,CSC,CTCP Tập đoàn COTANA,Phát triển và quản lý bất động sản,HNX,37408982
240,CSM,CTCP Công nghiệp Cao su Miền Nam,Xe và linh kiện,HOSE,103626467
241,CST,CTCP Than Cao Sơn - TKV,Năng lượng,HNX,42846773
242,CSV,CTCP Hóa chất Cơ bản Miền Nam,Nguyên vật liệu,HOSE,110499910
243,CT3,CTCP Đầu tư và Xây dựng Công trình 3,Tư liệu sản xuất,UPCoM,8799849
244,CT6,CTCP Công trình 6,Tư liệu sản xuất,UPCoM,6108078
245,CTA,CTCP Vinavico,Nguyên vật liệu,UPCoM,8454381
246,CTB,CTCP Chế tạo Bơm Hải Dương,Tư liệu sản xuất,HNX,13680000
247,CTD,CTCP Xây dựng Coteccons,Tư liệu sản xuất,HOSE,103633261
248,CTF,CTCP City Auto,Phân phối và bán lẻ hàng lâu bền,HOSE,95653859
249,CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,Tư liệu sản xuất,HOSE,62999997
250,CTN,CTCP Xây dựng Công trình ngầm,Tư liệu sản xuất,UPCoM,6958345
251,CTP,CTCP Hòa Bình Takara,"Thực phẩm, đồ uống và thuốc lá",HNX,12099992
252,CTR,Tổng Công ty cổ phần Công trình Viettel,Dịch vụ viễn thông,HOSE,114385879
253,CTT,CTCP Chế tạo Máy - Vinacomin,Tư liệu sản xuất,HNX,4697351
254,CTW,CTCP Cấp thoát nước Cần Thơ,Dịch vụ tiện ích,UPCoM,28000000
255,CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Phát triển và quản lý bất động sản,UPCoM,78907276
256,CVN,CTCP Vinam,"Thực phẩm, đồ uống và thuốc lá",HNX,29699991
257,CVT,CTCP CMC,Nguyên vật liệu,HOSE,36690887
258,CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8,Tư liệu sản xuất,HNX,2553771
259,CYC,CTCP Gạch men Chang Yih,Nguyên vật liệu,UPCoM,1990530
260,D11,CTCP Địa ốc 11,Phát triển và quản lý bất động sản,HNX,7338138
261,D2D,CTCP Phát triển Đô thị Công nghiệp số 2,Phát triển và quản lý bất động sản,HOSE,30304758
262,DAC,CTCP 382 Đông Anh,Nguyên vật liệu,UPCoM,1004974
263,DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Truyền thông và giải trí,HNX,5000000
264,DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,Truyền thông và giải trí,HNX,1925658
265,DAG,CTCP Tập đoàn Nhựa Đông Á,Tư liệu sản xuất,UPCoM,60314112
266,DAH,CTCP Tập đoàn Khách sạn Đông Á,Dịch vụ tiêu dùng,HOSE,84200000
267,DAN,CTCP Dược Danapha,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,20938000
268,DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng,Phân phối và bán lẻ hàng lâu bền,UPCoM,4200000
269,DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản,"Thực phẩm, đồ uống và thuốc lá",HOSE,69228341
270,DBC,CTCP Tập đoàn Dabaco Việt Nam,"Thực phẩm, đồ uống và thuốc lá",HOSE,334669145
271,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (BIDIPHAR),"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,93593847
272,DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,1941588
273,DBT,CTCP Dược phẩm Bến Tre,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,20530650
274,DC1,CTCP Đầu tư Phát triển Xây dựng Số 1,Tư liệu sản xuất,UPCoM,4504337
